"Name","Team","PA","HR","R","RBI","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","2B","playerid"
"Nick Markakis","Braves","538","14","69","80",".174",".335",".318",".379",".492",".368","131","152","37","5930"
"Khris Davis","Athletics","492","34","69","95",".296",".270",".254",".329",".550",".368","136","110","24","9112"
"Xander Bogaerts","Red Sox","440","17","58","74",".237",".304",".278",".355",".515",".367","130","108","35","12161"
"Miguel Andujar","Yankees","450","20","62","63",".234",".327",".300",".331",".534",".366","132","128","36","15878"
"Javier Baez","Cubs","477","25","74","89",".274",".333",".287",".319",".561",".364","127","129","32","12979"
"Scooter Gennett","Reds","495","18","72","70",".177",".363",".313",".362",".490",".364","127","141","26","10339"
"J.T. Realmuto","Marlins","409","15","57","58",".208",".326",".292",".349",".500",".363","130","108","26","11739"
"Jose Martinez","Cardinals","444","14","42","69",".160",".341",".308",".369",".468",".362","129","123","22","7996"
"Aaron Hicks","Yankees","430","20","65","58",".223",".267",".251",".367",".473",".362","129","89","15","5297"
"Lorenzo Cain","Brewers","463","9","63","31",".122",".351",".302",".393",".424",".361","124","121","20","9077"
"Anthony Rendon","Nationals","426","16","57","60",".207",".312",".294",".352",".501",".361","125","112","29","12861"
"Eduardo Escobar","- - -","485","18","59","75",".237",".323",".281",".344",".518",".360","126","122","43","6153"
"Mitch Haniger","Mariners","516","19","62","78",".197",".325",".276",".364",".473",".359","132","123","27","14274"
"Justin Smoak","Blue Jays","487","18","53","60",".208",".318",".257",".363",".465",".358","126","106","32","9054"
"Yasmani Grandal","Dodgers","399","21","53","59",".239",".270",".245",".346",".484",".356","127","84","17","11368"
"Nicholas Castellanos","Tigers","514","18","67","69",".202",".355",".290",".342",".492",".356","124","138","34","11737"
"Justin Upton","Angels","522","26","69","74",".207",".328",".267",".352",".474",".355","129","121","16","5222"
"Rougned Odor","Rangers","389","14","61","50",".196",".336",".276",".351",".472",".354","120","94","21","12282"
"Jed Lowrie","Athletics","518","19","54","76",".196",".315",".272",".351",".468",".353","126","125","31","4418"
"Michael Brantley","Indians","486","13","71","64",".164",".303",".299",".355",".463",".353","121","131","29","4106"
"Carlos Gonzalez","Rockies","387","14","59","51",".201",".344",".286",".344",".487",".352","105","101","23","7287"
"Charlie Blackmon","Rockies","523","22","89","53",".199",".310",".275",".342",".474",".351","104","130","18","7859"
"Eddie Rosario","Twins","519","21","77","69",".199",".325",".294",".334",".493",".350","120","143","30","12155"
"Mallex Smith","Rays","403","2","48","29",".125",".375",".301",".374",".426",".349","124","106","20","13608"
"Corey Dickerson","Pirates","422","11","52","46",".179",".334",".307",".339",".486",".349","120","122","26","10762"
"Cody Bellinger","Dodgers","497","20","69","57",".213",".310",".259",".346",".472",".348","122","113","23","15998"
"Travis Shaw","Brewers","460","24","58","69",".231",".248",".246",".338",".477",".347","114","98","20","11982"
"Matt Kemp","Dodgers","420","18","53","69",".195",".328",".284",".336",".479",".346","120","108","20","5631"
"Kyle Schwarber","Cubs","417","21","53","49",".221",".294",".244",".361",".464",".346","115","85","12","16478"
"Whit Merrifield","Royals","527","7","57","40",".118",".355",".302",".371",".420",".345","117","141","32","11281"
